models,dataset,max_train_examples,max_eval_examples,T_max_cfg,methods,T_max,Greedy-CoT,tokens_used_mean,trunc_rate,finish_reason_seen_rate
DeepSeek-R1-Distill-Qwen-1.5B,aime_2024,10,20,16384,greedy,16384,0.4,11282.3,0.6,1
DeepSeek-R1-Distill-Qwen-1.5B,aime25,10,20,16384,greedy,16384,0.3,11642.75,0.65,1
DeepSeek-R1-Distill-Qwen-1.5B,amc23,10,30,16384,greedy,16384,0.6,7103.1,0.333333333,1
DeepSeek-R1-Distill-Qwen-1.5B,arc-c,100,,1024,greedy,1024,0.591973244,652.1973244,0.257525084,1
DeepSeek-R1-Distill-Qwen-1.5B,commonsense_qa,100,,1024,greedy,1024,0.456183456,618.3218673,0.214578215,1
DeepSeek-R1-Distill-Qwen-1.5B,gsm8k,100,,2048,greedy,2048,0.805913571,775.671721,0.083396513,1
DeepSeek-R1-Distill-Qwen-1.5B,math500,100,400,16384,greedy,16384,0.72,4688.5125,0.215,1
DeepSeek-R1-Distill-Qwen-1.5B,openbookqa,100,,1024,greedy,1024,0.5,668.156,0.298,1
DeepSeek-R1-Distill-Qwen-7B,aime_2024,10,20,16384,greedy,16384,0.55,11240.15,0.5,1
DeepSeek-R1-Distill-Qwen-7B,aime25,10,20,16384,greedy,16384,0.45,9622.4,0.35,1
DeepSeek-R1-Distill-Qwen-7B,amc23,10,30,16384,greedy,16384,0.866666667,5009.833333,0.1,1
DeepSeek-R1-Distill-Qwen-7B,arc-c,100,,1024,greedy,1024,0.779264214,604.4882943,0.150501672,1
DeepSeek-R1-Distill-Qwen-7B,commonsense_qa,100,,1024,greedy,1024,0.647010647,574.2080262,0.12039312,1
DeepSeek-R1-Distill-Qwen-7B,gsm8k,100,,2048,greedy,2048,0.86504928,468.3942381,0.00227445,1
DeepSeek-R1-Distill-Qwen-7B,math500,100,400,16384,greedy,16384,0.8525,2760.5175,0.0575,1
DeepSeek-R1-Distill-Qwen-7B,openbookqa,100,,1024,greedy,1024,0.754,580.27,0.138,1
Qwen2.5-3B-Instruct,aime_2024,10,20,16384,greedy,16384,0.05,2749.1,0.1,1
Qwen2.5-3B-Instruct,aime25,10,20,16384,greedy,16384,0.05,2559.95,0.1,1
Qwen2.5-3B-Instruct,amc23,10,30,16384,greedy,16384,0.433333333,1416.1,0.033333333,1
Qwen2.5-3B-Instruct,arc-c,100,,1024,greedy,1024,0.809364548,297.5451505,0,1
Qwen2.5-3B-Instruct,commonsense_qa,100,,1024,greedy,1024,0.742833743,241.5208845,0,1
Qwen2.5-3B-Instruct,gsm8k,100,,2048,greedy,2048,0.855193328,282.0394238,0,1
Qwen2.5-3B-Instruct,math500,100,400,16384,greedy,16384,0.6575,872.1475,0.015,1
Qwen2.5-3B-Instruct,openbookqa,100,,1024,greedy,1024,0.754,263.31,0,1
Qwen2.5-7B-Instruct,aime_2024,10,20,16384,greedy,16384,0.2,1305.1,0,1
Qwen2.5-7B-Instruct,aime25,10,20,16384,greedy,16384,0.1,1045.3,0,1
Qwen2.5-7B-Instruct,amc23,10,30,16384,greedy,16384,0.533333333,1853.266667,0.066666667,1
Qwen2.5-7B-Instruct,arc-c,100,,1024,greedy,1024,0.879598662,304.8428094,0,1
Qwen2.5-7B-Instruct,commonsense_qa,100,,1024,greedy,1024,0.791973792,274.7166257,0,1
Qwen2.5-7B-Instruct,gsm8k,100,,2048,greedy,2048,0.909021986,274.1561789,0,1
Qwen2.5-7B-Instruct,math500,100,400,16384,greedy,16384,0.745,731.815,0.0075,1
Qwen2.5-7B-Instruct,openbookqa,100,,1024,greedy,1024,0.782,279.75,0,1
