,aime_2024,,aime25,,amc23,,arc-c,,math500,,openbookqa,,平均值项:acc汇总,平均值项:tokens_used_mean汇总
行标签,平均值项:acc,平均值项:tokens_used_mean,平均值项:acc,平均值项:tokens_used_mean,平均值项:acc,平均值项:tokens_used_mean,平均值项:acc,平均值项:tokens_used_mean,平均值项:acc,平均值项:tokens_used_mean,平均值项:acc,平均值项:tokens_used_mean,,
DeepSeek-R1-Distill-Qwen-1.5B,,,,,,,,,,,,,,
greedy,0.4,11282.3,0.3,11642.75,0.6,7103.1,0.591973244,652.1973244,0.72,4688.5125,0.5,668.156,0.518662207,6006.169304
Self-Consist,0.35,32761.65,0.35,28535,0.733333333,17529.4,0.545150502,2065.374582,0.84,9441.385,0.538,2089.684,0.559413973,15403.74893
Self-Discover,0.2,10837.55,0.2,9884.65,0.5,7955.433333,0.571906355,650.2274247,0.74,3979.67,0.472,662.312,0.447317726,5661.64046
deer,0.3,9935.05,0.4,9208.9,0.6667,6509.8,0.5686,625.09,0.71,2364.96,0.512,656.44,0.526216667,4883.373333
seal,0.3,11802.3,0.2,13262.6,0.6,7495.9,0.49,665.24,0.62,5458,0.5,640.55,0.451666667,6554.098333
med,0.25,11265.05,0.3,11031.4,0.7,6835.7,0.498327759,444.458194,0.715,3282.2975,0.478,446.632,0.490221293,5550.922949
high,0.35,11930.05,0.35,11383.7,0.7,6645.466667,0.56187291,669.9197324,0.7475,4297.425,0.514,629.538,0.537228818,5926.016567
DeepSeek-R1-Distill-Qwen-7B,,,,,,,,,,,,,,
greedy,0.55,11240.15,0.45,9622.4,0.866666667,5009.833333,0.779264214,604.4882943,0.8525,2760.5175,0.754,580.27,0.70873848,4969.609855
Self-Consist,0.65,27942.45,0.45,29249.95,0.9,14587.86667,0.799331104,1889.12709,0.8975,7974.1225,0.774,1905.848,0.745138517,13924.89404
Self-Discover,0.4,9548.65,0.45,9971.25,0.8,3788.6,0.762541806,520.8026756,0.845,2133.0675,0.738,527.944,0.665923634,4415.052363
deer,0.7,9560.15,0.5,9070.35,0.8333,4327.87,0.7726,572.53,0.8075,2069.45,0.74,550.52,0.725566667,4358.478333
seal,0.7,8902.6,0.5,9417.2,1,3728.5,0.77,679.92,0.85,3189.03,0.74,643.36,0.76,4426.768333
med,0.65,9151.8,0.5,9288.05,0.9,4148.9,0.799331104,534.9698997,0.87,2732.0175,0.732,374.804,0.741888517,4371.7569
high,0.65,8941.4,0.6,9653.9,0.933333333,4000.366667,0.829431438,600.1404682,0.88,2638.785,0.768,591.802,0.776794129,4404.399023
Qwen2.5-3B-Instruct,,,,,,,,,,,,,,
greedy,0.05,2749.1,0.05,2559.95,0.433333333,1416.1,0.809364548,297.5451505,0.6575,872.1475,0.754,263.31,0.45903298,1359.692108
Self-Consist,0.1,2991.05,0,3090.8,0.366666667,2796.533333,0.839464883,906.4046823,0.6325,1918.1725,0.776,804.868,0.452438592,2084.638086
Self-Discover,0.1,2497.95,0.05,1021.9,0.566666667,1446.9,0.739130435,323.6521739,0.6275,873.4075,0.7,289.048,0.46388285,1075.476279
deer,0.1,2084.85,0,2186.65,0.5,1566.23,0.7592,354.87,0.61,1146.17,0.692,329.41,0.443533333,1278.03
seal,0,2802.1,0,2571.2,0.5,853.5,0.85,313.21,0.7,1002.71,0.66,276.93,0.451666667,1303.275
med,0.1,1509.7,0,981.4,0.433333333,875.7333333,0.759197324,265.458194,0.6575,752.675,0.764,256.718,0.452338443,773.6140879
high,0.2,1264.45,0.15,1023.1,0.566666667,1432,0.842809365,287.7892977,0.675,984.5725,0.772,259.844,0.534412672,875.292633
Qwen2.5-7B-Instruct,,,,,,,,,,,,,,
greedy,0.2,1305.1,0.1,1045.3,0.533333333,1853.266667,0.879598662,304.8428094,0.745,731.815,0.782,279.75,0.539988666,920.0124127
Self-Consist,0.2,2998.15,0.25,2983.1,0.433333333,2828.333333,0.886287625,925.7792642,0.755,1919.4525,0.794,844.224,0.553103493,2083.173183
Self-Discover,0.15,1865.55,0.15,878.05,0.6,821.2,0.795986622,326.1036789,0.71,709.695,0.736,280.278,0.523664437,813.4794465
deer,0.2,1315.3,0.15,986.5,0.5,935.8,0.8829,321.53,0.73,822.01,0.778,294.63,0.54015,779.295
seal,0.2,992.4,0.1,1078,0.8,672.2,0.86,320.38,0.8,717.02,0.79,279.93,0.591666667,676.655
med,0.2,965.6,0.05,911.3,0.566666667,797.6,0.879598662,299.3511706,0.7,622.55,0.768,239.712,0.527377555,639.3521951
high,0.25,1096.55,0.2,937.85,0.666666667,888.4,0.889632107,305.5150502,0.755,778.9425,0.804,254.764,0.594216462,710.336925
