models,dataset,offline_candidate_layers,online_k_scale,acc,tokens_used_mean
DeepSeek-R1-Distill-Qwen-7B,amc23,0.1,1,0.866666667,4397.333333
DeepSeek-R1-Distill-Qwen-7B,amc23,0.2,1,0.9,4609.8
DeepSeek-R1-Distill-Qwen-7B,amc23,0.3,1,0.9,4039.733333
DeepSeek-R1-Distill-Qwen-7B,amc23,0.4,1,0.866666667,4702.733333
DeepSeek-R1-Distill-Qwen-7B,amc23,0.5,1,0.9,4397.333333
DeepSeek-R1-Distill-Qwen-7B,amc23,0.6,1,0.9333,4000
DeepSeek-R1-Distill-Qwen-7B,amc23,0.7,1,0.866666667,4871.6
DeepSeek-R1-Distill-Qwen-7B,amc23,0.8,1,0.866666667,5208.066667
DeepSeek-R1-Distill-Qwen-7B,amc23,0.9,1,0.8,5269.5
DeepSeek-R1-Distill-Qwen-7B,amc23,0.6,0.2,0.8333,4141.7
DeepSeek-R1-Distill-Qwen-7B,amc23,0.6,0.4,0.9,4266.9
DeepSeek-R1-Distill-Qwen-7B,amc23,0.6,0.6,0.9,4069.733333
DeepSeek-R1-Distill-Qwen-7B,amc23,0.6,0.8,0.9,4851.3
DeepSeek-R1-Distill-Qwen-7B,amc23,0.6,1,0.9333,4000
DeepSeek-R1-Distill-Qwen-7B,amc23,0.6,1.2,0.9333,4256.7
DeepSeek-R1-Distill-Qwen-7B,amc23,0.6,1.4,0.9,4398.766667
DeepSeek-R1-Distill-Qwen-7B,amc23,0.6,1.6,0.866666667,4351.433333
DeepSeek-R1-Distill-Qwen-7B,amc23,0.6,1.8,0.9,4261.666667
DeepSeek-R1-Distill-Qwen-7B,amc23,0.6,2,0.866666667,3827.633333
DeepSeek-R1-Distill-Qwen-7B,math500,0.1,1,0.8275,3179.04
DeepSeek-R1-Distill-Qwen-7B,math500,0.2,1,0.8725,3180.975
DeepSeek-R1-Distill-Qwen-7B,math500,0.3,1,0.8625,3173.66
DeepSeek-R1-Distill-Qwen-7B,math500,0.4,1,0.86,3231.2225
DeepSeek-R1-Distill-Qwen-7B,math500,0.5,1,0.8675,2864.005
DeepSeek-R1-Distill-Qwen-7B,math500,0.6,1,0.8725,3148.7225
DeepSeek-R1-Distill-Qwen-7B,math500,0.7,1,0.8375,2150.92
DeepSeek-R1-Distill-Qwen-7B,math500,0.8,1,0.8275,2570.41
DeepSeek-R1-Distill-Qwen-7B,math500,0.9,1,0.85,2462.2725
DeepSeek-R1-Distill-Qwen-7B,math500,0.6,0.2,0.875,2962.715
DeepSeek-R1-Distill-Qwen-7B,math500,0.6,0.4,0.8525,2515.195
DeepSeek-R1-Distill-Qwen-7B,math500,0.6,0.6,0.8325,2896.7825
DeepSeek-R1-Distill-Qwen-7B,math500,0.6,0.8,0.87,2732
DeepSeek-R1-Distill-Qwen-7B,math500,0.6,1,0.88,2638
DeepSeek-R1-Distill-Qwen-7B,math500,0.6,1.2,0.8575,2715.6225
DeepSeek-R1-Distill-Qwen-7B,math500,0.6,1.4,0.8675,2383.39
DeepSeek-R1-Distill-Qwen-7B,math500,0.6,1.6,0.8425,2378.4825
DeepSeek-R1-Distill-Qwen-7B,math500,0.6,1.8,0.8625,3158.2075
DeepSeek-R1-Distill-Qwen-7B,math500,0.6,2,0.8025,2696.6425
