models,dataset,acc,tokens_used_mean,probe_tokens_used_mean,offline_candidate_layers,online_k_scale
DeepSeek-R1-Distill-Qwen-7B,math500,0.875,2962.715,131.22,0.8,0.2
DeepSeek-R1-Distill-Qwen-7B,math500,0.8725,3180.975,127.4025,0.2,1
DeepSeek-R1-Distill-Qwen-7B,math500,0.8725,3148.7225,137.3125,0.6,1
DeepSeek-R1-Distill-Qwen-7B,math500,0.8675,2864.005,136.115,0.5,1
DeepSeek-R1-Distill-Qwen-7B,math500,0.8625,3173.66,135.0825,0.3,1
DeepSeek-R1-Distill-Qwen-7B,math500,0.8625,3158.2075,136.3975,0.8,1.8
DeepSeek-R1-Distill-Qwen-7B,math500,0.8575,2715.6225,134.5275,0.8,1.2
DeepSeek-R1-Distill-Qwen-7B,math500,0.855,3231.2225,137.485,0.4,1
DeepSeek-R1-Distill-Qwen-7B,math500,0.8525,2515.195,130.675,0.8,0.4
DeepSeek-R1-Distill-Qwen-7B,math500,0.85,2462.2725,131.8775,0.9,1
DeepSeek-R1-Distill-Qwen-7B,math500,0.845,2421.4525,124,0.8,0.8
DeepSeek-R1-Distill-Qwen-7B,math500,0.8425,2378.4825,131.685,0.8,1.6
DeepSeek-R1-Distill-Qwen-7B,math500,0.8375,2150.92,135.4875,0.7,1
DeepSeek-R1-Distill-Qwen-7B,math500,0.8325,2896.7825,132.095,0.8,0.6
DeepSeek-R1-Distill-Qwen-7B,math500,0.8275,3179.04,134.195,0.1,1
DeepSeek-R1-Distill-Qwen-7B,math500,0.8275,2570.41,132.2275,0.8,1
DeepSeek-R1-Distill-Qwen-7B,math500,0.8025,1926.82,135.03,0.8,1
DeepSeek-R1-Distill-Qwen-7B,math500,0.8025,2696.6425,129.075,0.8,2
DeepSeek-R1-Distill-Qwen-7B,math500,0.79,2383.39,133.21,0.8,1.4
DeepSeek-R1-Distill-Qwen-7B,amc23,0.933333333,4397.333333,112,0.1,1
DeepSeek-R1-Distill-Qwen-7B,amc23,0.933333333,4941.7,112,0.8,0.2
DeepSeek-R1-Distill-Qwen-7B,amc23,0.9,4039.733333,112,0.3,1
DeepSeek-R1-Distill-Qwen-7B,amc23,0.9,4609.8,111.9,0.6,1
DeepSeek-R1-Distill-Qwen-7B,amc23,0.9,5066.9,112,0.8,0.4
DeepSeek-R1-Distill-Qwen-7B,amc23,0.9,4869.733333,112,0.8,0.6
DeepSeek-R1-Distill-Qwen-7B,amc23,0.9,5061.666667,112,0.8,1.8
DeepSeek-R1-Distill-Qwen-7B,amc23,0.9,4627.633333,112,0.8,2
DeepSeek-R1-Distill-Qwen-7B,amc23,0.866666667,4702.733333,112,0.4,1
DeepSeek-R1-Distill-Qwen-7B,amc23,0.866666667,4871.6,112,0.7,1
DeepSeek-R1-Distill-Qwen-7B,amc23,0.866666667,5208.066667,112,0.8,1
DeepSeek-R1-Distill-Qwen-7B,amc23,0.866666667,5056.7,112,0.8,1.2
DeepSeek-R1-Distill-Qwen-7B,amc23,0.866666667,5151.433333,112,0.8,1.6
DeepSeek-R1-Distill-Qwen-7B,amc23,0.833333333,5381.466667,112,0.2,1
DeepSeek-R1-Distill-Qwen-7B,amc23,0.833333333,5110.833333,111.9,0.5,1
DeepSeek-R1-Distill-Qwen-7B,amc23,0.833333333,5651.3,112,0.8,0.8
DeepSeek-R1-Distill-Qwen-7B,amc23,0.833333333,5820.266667,112,0.8,1
DeepSeek-R1-Distill-Qwen-7B,amc23,0.833333333,5198.766667,130.9333333,0.8,1.4
DeepSeek-R1-Distill-Qwen-7B,amc23,0.8,5269.5,131.5333333,0.9,1
